,AK,AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2007-05-01,117.72516100000001,231.531998,224.101316,577.2101610000001,2987.179700999998,115.43164700000003,46.34092700000001,11.50502,174.26395900000006,1.472216,89.71598900000001,1274.1483789999993,13.349548000000002,50.509888999999994,0.648,151.748563,117.993,105.24830499999997,150.63273999999998,408.95749800000004,140.816309,77.14504400000001,167.958082,1270.5391710000001,187.23528900000002,102.607,25.795398,199.56703600000006,1.9110600000000002,31.964097000000006,244.049755,2302.2381200000004,45.046015999999995,420.298045,3557.2568460000007,211.82620099999997,0.555188,130.833927,121.474,299.092855,107.41837199999999,99.86039799999999,45.64357499999999,71.32311100000001,8998.999811000002,153.24006599999998,117.006984,65.560657
2007-06-01,115.80647299999997,299.195996,257.234964,681.3759080000001,2741.4670660000006,101.911417,27.770010000000006,10.857225,186.654686,2.010335,93.420683,1007.2721590000001,13.875806999999998,44.491424,0.79,83.394478,80.771,57.633112999999994,55.493605,314.33522,42.112563,72.18290799999998,196.06450700000002,1086.189387,253.308587,120.93,36.892782000000004,78.49875600000001,1.586967,28.923973,196.681737,1985.8296899999996,35.362030999999995,388.112594,2783.9650050000005,86.34394800000001,0.329301,117.589518,279.615,461.015234,218.708061,50.449724,109.222581,36.16094499999999,7663.840723,129.92892300000003,71.25389,109.747215
2007-07-01,116.992555,292.26349300000004,212.50677800000003,682.7525430000001,3385.220886999999,163.37574199999992,22.116333000000004,9.403916,202.760769,4.074821,78.11356500000002,1157.7477689999994,13.433806,45.019906000000006,1.044,89.191057,54.119,54.44637400000001,33.116513,241.00514,43.11250900000001,21.371500000000005,215.07503999999997,981.3508559999999,174.824537,154.433,44.59235500000001,65.45268,1.503343,29.695146,180.07352,1904.6916650000003,45.11393699999999,437.753175,2194.2868230000004,53.658043000000006,0.26593700000000003,100.14638400000003,389.194,412.35709399999996,383.86220000000003,40.378635,114.77948499999998,49.939947000000004,7269.903209000002,100.42193200000001,64.88526,145.933347
2007-08-01,103.061592,375.526494,350.771349,622.918212,2865.343753999999,207.323403,19.412293,10.971598,220.818599,6.826340999999999,74.05447799999999,906.3475320000003,16.595297,50.363911,1.303,107.404033,36.131,26.356230000000004,49.321453,240.045711,51.521454000000006,20.612481999999996,128.48852499999998,698.210796,283.9824300000001,128.754,40.79550800000001,48.208229,1.522106,24.673260000000003,155.746644,1912.5788220000002,54.14156499999999,382.670048,1800.301205,73.18038300000002,0.228521,94.337556,425.948,626.766108,271.62852100000003,37.49045900000001,109.161977,24.670600999999998,5966.235371999997,99.74713400000002,39.367216,148.685837
2007-09-01,77.07134500000004,213.258091,249.02139,485.77896999999996,2138.8073940000004,204.82433399999996,17.492899,7.530130000000001,186.18535300000002,8.389936,86.67487799999999,591.2757550000001,13.813773000000001,33.209917999999995,1.149,71.77735399999999,44.12,15.607576000000002,25.839295,251.44437700000003,33.31040599999999,39.34830300000001,34.665261,543.2492099999998,110.228268,90.227,25.786337000000003,39.414086000000005,1.411685,18.132925,133.05572899999999,1797.4392509999989,36.788824999999996,201.57376399999998,1881.2930870000002,39.10979999999999,0.218075,87.925671,252.166,258.860666,230.134804,36.53222699999999,93.12329299999999,17.322204999999993,3843.281871,83.61337299999997,48.540929000000006,42.509361000000006
2007-10-01,79.11500799999999,203.26877000000002,186.641975,468.561493,1784.0629100000006,185.721069,23.928038000000004,7.572858,201.22298800000002,10.024603,91.755029,401.70033499999977,10.156517,37.638124,0.924,73.65141899999999,25.555,58.13577100000001,46.266805999999995,241.553536,58.444397,69.855282,23.529569,460.447241,108.57120500000002,84.721,23.708483000000005,81.49995799999999,1.473456,15.007012000000005,88.543417,1850.6708389999994,32.708417000000004,104.876402,2107.7878739999996,71.48444900000001,0.285768,75.993444,228.712,275.35336,35.916035,36.547616999999995,56.67208799999998,44.228149,4498.1236960000015,143.67023399999997,55.379941,24.766169
2007-11-01,82.70496500000002,178.81531,101.352489,525.292029,1716.4722840000002,111.46702700000003,36.436738,8.518911,164.751581,4.254194999999999,89.01042,340.2208489999998,8.336616,52.401407999999996,0.429,96.096524,32.278,89.61219500000001,122.36027,327.587532,42.649458,111.64005700000001,10.883389,490.8817380000001,67.792147,81.575,17.522572,141.45887100000002,1.691904,14.196657000000004,27.093078,2046.7332149999993,56.949453,72.01942100000001,2388.271699,177.004745,0.42970800000000003,66.41799200000001,128.301,193.023671,30.554488999999997,35.402739,58.185823,71.35884800000001,5032.384411999999,104.65474299999998,104.013823,20.564002000000002
2007-12-01,93.69471300000001,167.309652,197.28412,559.4578660000001,1453.5295999999998,96.77680900000003,35.333442000000005,11.377002999999998,119.225316,18.275779999999997,78.815669,465.92229599999996,11.503336000000001,29.996669,0.48,146.696556,51.859,95.76709199999999,238.358804,354.966042,144.21036399999997,76.19805999999998,27.852601,828.274352,116.66559500000001,115.205,26.321984,97.81200799999998,1.8603270000000003,18.471831,24.444782,2150.374333999999,25.129780000000004,146.02974399999997,2927.1326619999995,315.508401,0.404548,72.26167200000002,252.288,210.604155,23.607958999999997,29.041446,64.222077,73.61972800000001,6073.914777999999,113.36575199999992,139.83494,20.387877999999997
2008-01-01,104.10476200000001,584.1464260000001,198.973798,636.801515,1552.9235040000015,179.954738,43.753384000000004,20.778289,169.65223999999998,14.840584000000002,57.17781900000001,535.9202890000004,12.417771000000002,44.336375,0.7381740000000001,204.92843699999997,75.212,112.24594000000002,294.843376,390.0718769999999,127.79529299999993,70.97159199999999,63.397591,541.147768,250.461047,114.693,65.83018100000001,123.17465499999999,2.274153,19.909496,45.514469000000005,2292.6327420000016,42.279322,198.943884,3322.8479940000016,303.332309,0.391531,87.701298,221.702,392.0103699999999,3.2939660000000006,42.592774000000006,75.86829899999998,146.465273,6623.585779999999,166.55522600000006,146.685649,53.251824
2008-02-01,113.19301999999999,753.1091549999999,244.979658,551.389883,1228.9692649999995,115.93110199999998,45.19030600000001,21.574206999999998,199.37547999999998,18.654439000000004,63.596064999999996,450.10327499999994,12.449755999999999,20.429529000000002,0.821033,203.94668,75.215,112.03817299999997,295.005808,398.64262800000006,137.63906899999995,39.742039,106.988802,570.35889,284.33448,107.466,71.004081,97.91432099999999,1.983324,18.53394,64.08656,1915.4442679999993,15.110556999999998,291.538098,2846.380516,365.673932,0.404389,104.563378,234.793,644.7246160000002,44.163681000000004,39.65002200000001,68.86733799999998,135.181013,5409.354249000002,80.45076399999999,118.347679,49.57263000000001
2008-03-01,109.311217,887.746583,318.61493600000006,688.752485,1438.5937539999993,209.23741400000003,51.33098700000001,23.51238,181.50515499999997,9.112718000000001,71.658076,686.237044,13.24319,7.120046,0.925115,286.550627,104.356,122.318186,321.423467,432.881768,147.48284700000002,65.0689,267.08081400000003,528.3464819999998,314.81751800000006,94.332,58.916878,125.83789100000001,2.5355540000000003,23.426609,173.11246300000002,2483.9423120000015,4.517711,439.368423,3176.074976,426.55100699999997,0.45934,93.302153,151.471,627.730152,165.675794,50.11700199999999,81.05005299999999,161.36360099999993,5767.154283999997,40.388649999999984,171.723887,62.659022
2008-04-01,104.79203100000001,520.308745,437.933036,672.0392320000001,2719.9879460000016,191.17116399999998,63.359566,21.481456,153.22976300000002,7.029002,85.345545,999.3054390000002,13.425719,34.663213000000006,1.101822,266.564826,125.592,104.587916,254.410928,389.88408100000004,176.57567900000004,71.864807,282.14266599999996,615.7719499999998,303.564956,90.506,80.72261000000002,269.5547859999999,2.26098,27.648446000000003,245.06500400000002,2258.7066060000016,30.320866,547.5036980000001,2507.5281669999995,328.232683,0.566979,111.252189,237.345,442.0841710000001,219.000635,59.148864,117.383394,161.616614,5537.187248000001,132.661645,137.550827,73.95114500000001
2008-05-01,77.437021,414.917369,436.103252,722.1868489999999,3231.4395720000016,232.03016099999996,46.543586,20.388077000000006,158.96600600000002,10.135719,73.24519599999999,979.9545710000003,12.546118,35.064626000000004,0.945605,187.234816,133.269,93.006277,227.79255600000002,381.1414689999999,93.08485400000002,77.53157399999998,250.12315499999997,1101.3023069999997,233.59442500000006,95.928,64.244095,130.74094300000002,2.3338330000000003,32.750436,186.92259799999997,2363.470063,31.056387,496.61903599999994,3806.150677000001,300.667987,0.416499,98.63106300000001,177.436,278.320568,136.268663,70.06365100000001,39.57993799999999,123.89352100000005,9146.207422,130.88116299999993,190.983307,87.59741199999999
2008-06-01,99.054749,289.22989399999994,471.49616,645.6438929999999,2745.3871230000004,183.72153100000006,44.642018000000014,12.819818000000001,145.318243,0.942857,60.649448,1363.1196300000004,13.103442,47.608093000000004,0.782992,114.36343699999999,124.981,82.35725500000001,71.060956,358.15292500000004,138.285323,116.60364100000001,240.551365,1650.8187959999998,204.25859199999994,109.217,41.465854,133.586939,2.0261020000000003,41.190974000000004,215.471796,2174.210167,38.069126,420.22263799999996,4132.185785000001,112.306834,0.399483,87.560467,83.736,377.0045089999999,119.446477,88.12065799999999,100.85945399999999,111.38531099999996,11210.101551999996,167.10819600000008,76.625342,110.17327200000001
2008-07-01,71.578804,276.96136700000005,565.4319120000001,682.0921480000001,3336.296835999999,226.73984100000004,44.701615999999994,12.597256,150.389123,6.402004,87.93565299999999,1269.4103250000003,9.799228999999999,54.411222,1.13526,84.832549,129.568,82.76052500000002,58.670501,341.009965,84.05016399999998,63.919727,297.026358,1348.992709,193.94827499999994,114.155,78.598704,144.99436100000003,2.125559,37.308453,185.97174499999997,2301.5796280000004,53.33310000000001,402.089736,2718.574723999999,92.41413300000002,0.40001600000000004,81.03315900000001,221.271,436.02259700000013,106.32957300000001,79.814707,119.51153899999997,104.00209600000001,8420.170171000002,197.81262699999996,77.12365299999999,99.78871400000001
2008-08-01,86.413744,478.7016300000001,530.258845,651.252542,3422.5557079999976,128.743029,56.62867099999999,14.60282,204.891985,4.502144,83.809738,1117.3875130000004,10.007952999999999,41.446212,1.0819940000000001,115.32944499999999,91.534,107.754415,41.22806,400.33077399999985,75.07838500000003,26.992683999999997,119.07836,882.93554,309.44771399999996,118.543,102.04389000000002,201.91670199999996,2.0100890000000002,30.411336000000002,185.044582,2197.1217539999993,39.427597999999996,306.456318,1747.5976489999998,62.21658100000001,0.5067470000000001,77.47489400000002,356.717,713.3696900000001,93.764097,65.05956800000001,110.06424899999998,139.81932900000007,5397.235249000002,152.180247,46.961895000000005,81.341033
