,AK,AL,AR,CA,CO,CT,GA,IA,ID,IL,IN,KS,KY,LA,MA,ME,MI,MN,MO,MT,NC,NE,NH,NM,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2009-03-01,2.2552880000000006,605.0516700000001,82.28177099999999,83.88414700000001,45.529154999999996,13.158942999999999,13.143244999999999,0.76886,81.10852500000001,11.799377,37.802021999999994,0.7274780000000001,26.184493000000003,106.346,52.951676,139.961665,73.81851,51.09441,33.725928,61.7209,41.002702,8.485594,51.051527,10.247806,180.40143100000006,0.156725,72.63137400000001,2327.509582,252.88115200000001,0.462452,70.509136,34.044787,142.99474399999997,0.445838,5.3821270000000005,31.024104999999995,66.413366,1175.7205729999996,26.991195999999995,143.65332,7.346121000000001
2009-04-01,2.310107,511.95688499999994,122.10111,100.16245000000005,33.596546,14.504831000000001,13.35396,1.043194,194.89911999999998,12.977376,33.889452,0.987047,24.698656,125.916,47.476763000000005,136.43477800000002,116.28710000000001,47.28535,104.431682,77.519977,38.267027999999996,11.513315,65.60026800000001,13.767265,165.2398539999999,0.15437900000000002,171.849664,2687.7526000000003,239.195457,0.509752,64.75687300000001,35.29417,142.01568300000002,0.585373,7.230536,31.558947000000003,61.63855100000001,1544.8815260000001,26.705385,139.120755,9.869039
2009-05-01,1.742879,666.1437960000001,70.25530900000001,134.332554,52.575696,12.945632,11.599064000000002,1.289383,173.93025699999998,11.784523,39.080157,1.2199849999999999,23.880747,130.16,37.718379999999996,134.39510400000003,44.494295,68.019779,111.910326,116.98093399999999,60.518166,14.230399000000002,55.667693,15.567479,173.86784499999996,0.17979499999999998,189.481073,2832.4470660000006,219.784482,0.454956,57.205947,41.198978000000004,230.940553,0.971047,8.176006000000001,29.464068000000005,59.871537,2115.502986,28.095526000000007,162.34381,11.15952
2009-06-01,2.289725,251.171591,151.67614400000002,157.10796799999997,49.144229,9.851626000000001,11.975899000000002,1.386249,196.265565,11.471602,48.86238899999999,1.311638,16.16986,130.985,36.632836000000005,114.25614000000002,29.479465,50.25215899999999,26.733036,122.98932800000001,73.27751100000003,15.299466,38.392796000000004,16.784807,159.31822899999997,0.236036,163.90031999999997,2905.973392,198.79758900000002,0.346221,65.32604699999999,60.874957,125.30544000000002,0.6100599999999999,8.815343,49.442609999999995,43.761078999999995,2017.7230210000002,34.293,129.941426,12.03216
2009-07-01,2.270956,179.007755,108.28667499999999,156.785989,45.557716,13.391112,12.614525,1.317673,196.51425600000002,10.053028999999999,52.794183000000004,1.2467519999999999,11.564846,98.002,49.920727,135.73005500000002,12.610326999999998,28.655986000000002,31.466168000000003,96.59903799999998,29.198714,14.542620000000001,56.087462,14.851532,167.12718500000003,0.254558,88.89674,1593.8026620000003,125.396322,0.47061200000000003,41.81876900000001,69.715936,87.57390999999998,0.553042,7.799991,24.957398000000005,57.60188899999999,931.9485289999999,35.970248,74.131894,10.646294
2009-08-01,2.489093,235.271022,94.047279,108.63321599999999,15.056936,11.861127999999999,12.513268,1.3202,150.67462000000003,9.386376,46.803352,1.249144,13.444547,84.715,39.497413,139.90425600000003,14.324547000000004,21.809468000000003,32.796763,61.570468999999996,29.894909,14.570514,43.341648,11.993052,163.141286,0.265463,90.774919,1135.4909989999996,165.96504199999998,0.41684200000000005,40.672947,73.964018,126.41560500000001,0.45222700000000005,6.298725,27.869073,33.397315,554.702861,34.346618,84.343919,8.597197
2009-09-01,1.8669149999999999,469.80258399999997,106.649049,82.378611,49.713420000000006,6.422987,14.999488,1.3869719999999999,99.625474,8.245258,42.564468999999995,1.3123220000000002,13.129756,58.477,13.435227,90.45752700000001,13.356083000000002,21.250443,27.005326,48.243068,42.048377,15.307451,16.406222999999997,9.11384,147.66350000000006,0.181789,125.972448,1385.1644500000004,81.89288900000001,0.225727,36.603561,81.24101300000001,123.97907300000001,0.220198,4.786568,26.941948999999997,12.640004,652.151793,27.794581,45.94704,6.53324
2009-10-01,2.978231,752.3718640000001,100.59928500000001,64.99984700000002,39.33741800000001,8.181700999999999,16.607992000000003,1.3945999999999998,70.32091699999998,8.974742,50.501322,1.319539,20.434030999999997,90.194,36.237379999999995,89.951363,27.582848999999996,20.60404,108.995339,53.187367,50.233239999999995,15.391636,33.393947999999995,8.576092000000001,153.2106950000001,0.224359,178.63389700000002,1568.488027,160.513063,0.287534,44.96865999999999,56.236367,202.580402,0.491256,4.504143,19.738359000000003,23.820093000000004,695.677607,33.48053300000001,125.23940300000001,6.147755000000001
2009-11-01,2.779798,737.42101,111.667681,42.852695000000004,2.329806,10.182386000000001,18.211991,0.9746840000000001,56.779755999999985,8.707726000000001,42.919422,0.9222250000000001,17.197675,110.183,46.96812499999999,103.52706399999998,33.52771200000001,58.40291000000001,71.99341700000001,58.20946,88.31188,10.757197,43.687795,8.589433000000001,165.63875299999998,0.285223,172.66788699999998,1954.8259290000005,177.34447299999997,0.357845,141.246094,26.146106,192.71072299999997,0.9465330000000001,4.511152,42.433344000000005,40.177068000000006,711.1842229999999,34.335371,99.82988800000001,6.157321
2009-12-01,3.2351780000000003,899.942397,101.28913299999999,50.474035999999984,29.869263999999994,12.753709000000002,29.413502,1.038204,69.68927299999999,9.01155,33.561044,0.982325,23.255719000000003,113.11,48.46228,134.51290899999998,30.827878,37.714487,44.080385,70.28494400000001,84.514049,11.458234000000001,49.147822,10.946382999999999,175.11839799999998,0.173429,77.079691,2328.7380179999996,261.000649,0.448211,227.09759200000002,45.776842,258.489085,1.0767449999999998,5.749017,68.261566,52.750697999999986,803.322189,24.779512999999994,158.352416,7.846896000000001
2010-01-01,2.889822,679.299095,129.978828,41.301595000000006,44.19792699999999,8.367915,21.103926000000005,0.634729,91.08556000000002,5.666640999999999,34.486822000000004,0.9538620000000001,26.552313,104.529,37.177206,133.111192,31.222761000000006,30.147117000000005,53.147973,68.002713,100.413438,53.412315,34.003616,10.27988,154.83235699999997,0.286322,117.57987800000001,2117.484359,233.562008,0.33519800000000005,155.271061,,221.42305399999998,1.40972,4.828788,48.037607,38.26667,980.995284,33.836192000000004,148.921903,1.4725720000000002
2010-02-01,2.069821,732.8611539999999,121.78434899999999,41.962189999999985,44.374002999999995,7.315845,25.688745000000004,0.554052,78.944486,4.130142,34.286249,0.8326220000000001,28.436981,116.029,33.250689,118.022334,21.636081000000004,30.081294999999997,89.144351,58.863612,100.35064700000001,46.623292,25.307489999999998,8.245228000000001,139.04046,0.138041,159.523807,1898.8631419999997,157.413345,0.29305400000000004,165.755786,,259.26354699999996,0.58277,3.8730439999999997,47.423404000000005,34.28679,814.370228,26.078363999999993,136.119512,1.472384
2010-03-01,2.580584,568.902455,118.428467,59.72696300000001,47.807162,10.079351,19.377434,0.43785599999999997,76.36981999999999,6.698669999999999,21.968546000000003,0.658003,24.248296000000003,116.627,45.323965,137.135227,58.82626000000001,52.381288,63.212049,52.301006,61.096921,36.84539900000001,49.157333,9.499197,163.26656499999999,0.145185,134.261856,1932.5340969999997,302.513734,0.403754,83.46825299999999,,132.62746399999997,1.410942,4.462073999999999,37.28910799999999,49.989310999999994,910.7020090000003,21.749708,175.277901,1.904052
2010-04-01,2.864364,288.716505,106.00332300000001,77.21491400000002,43.197386,11.364692000000002,12.845884000000003,0.463815,85.39994000000002,8.793117,49.351382,0.6970149999999999,17.704521,114.519,48.193137,147.90306199999998,65.06578999999999,38.249981999999996,71.986863,54.654948,44.10763,39.029861000000004,55.878989999999995,9.857876000000001,144.04295700000003,0.371578,130.173794,1513.528931,215.045143,0.45524100000000006,56.79391,,59.27796599999999,0.659794,4.630555,32.97056,61.30166100000001,806.9911349999999,47.24724100000001,115.580606,4.849582000000001
